"ColonneTri","Fixe","FlagArchive","GenOnExec","GroupeRdvOnline","Id","IdSysFamilleGroupe","NomAbrege","NomIcone","NomService","Poids","PrioriteAutoLeader","RevServ","VisibleFacturation","GuidCS","IGuid","TechnicStock","Color","ImageID","MinPrice","MaxPrice"
"2","False","0","False","0","1","3","COUPE","!Defaut.bmp","Coupe","0","0","0","True","27e2287b-a279-4dd8-b704-f2d160283856","b8bdee54-8c24-497f-a2be-8df458edb967","False","0","-2135978280","0","0"
"1","False","0","False","0","2","6","shampooing","!Defaut.bmp","Shampooing","0","0","0","True","f7e0c514-fa35-4317-b849-1bf52b228ea8","d2817a83-05a1-427c-8b43-7c22d99abe6d","False","0","297475306","0","0"
"5","False","0","False","0","3","7","BRUSH","!Defaut.bmp","Brushing","0","0","0","True","8c7b90ab-b35f-4ea8-8275-66dc7b6b233f","a5ee41ed-cc50-4c19-a91f-9131fe7997c7","False","0","2090550261","0","0"
"0","False","0","False","0","4","1","COLOR","!Defaut.bmp","Coloration","0","0","0","True","3dbbcc84-ffa5-461d-8592-13a9d8ae2312","b3ad1c75-ff3a-4756-8103-90da57758296","False","0","1023554127","0","0"
"6","False","0","False","0","5","7","COIFF","!Defaut.bmp","Coiffage","0","0","0","True","20050bbb-0d42-476b-b2e2-21c359b3e5a8","e768dec4-0d05-468e-be31-bc0bb1a7e70d","False","0","-2135978280","0","0"
"4","False","0","False","0","6","6","MECHE","!Defaut.bmp","Mèches & Balayage","0","0","0","True","ea4ace54-8936-4062-8f20-82724a64eae7","9801e4fb-35b5-4e39-b757-260148efab3b","False","0","1962843189","0","0"
"3","False","0","False","0","7","3","FORME","!Defaut.bmp","Forme","0","0","0","False","dad194bd-29d6-444e-bcab-ef08a445eb45","8657721c-a406-440e-af18-2d6395ffaf5e","False","0","-2135978280","0","0"
"7","False","0","False","0","8","6","LOTION","!Defaut.bmp","Lotion","0","0","0","False","58e64724-b1bf-471b-bd3d-83ad508f4a6a","0bf9d1a0-cbca-4a30-adbb-096c909df324","False","0","-1054352893","0","0"
"8","False","0","False","0","9","7","SOINS","!Defaut.bmp","Soins","0","0","0","True","41c0f8bc-e2dc-48c6-9c4d-98a884a4b972","085556ee-3990-4804-b186-02c66aa1febb","False","0","1844864741","0","0"
"9","False","0","False","0","10","6","AUTRES","!Defaut.bmp","Autres","0","0","0","True","1be092db-d976-4ef3-a435-b575769dbd6a","8c2193b7-dd34-48ba-8cbb-d96dc89c5007","False","0","1803819239","0","0"
"10","False","0","False","0","11","8","","!Defaut.bmp","NYCE","0","0","0","True","13c0c92f-69c1-43db-a262-735c838fde2e","b3fff185-590b-4a00-a3d7-74ff2735051f","False","0","-2135978280","0","0"
